species,antibiotic_name,pathogen_drug,total,resistant,susceptible
Enterobacter aerogenes,ertapenem,Enterobacter aerogenes + ertapenem,8,4,4
Providencia rettgeri,ertapenem,Providencia rettgeri + ertapenem,8,8,0
Enterobacter aerogenes,meropenem,Enterobacter aerogenes + meropenem,8,3,5
Klebsiella quasipneumoniae,ertapenem,Klebsiella quasipneumoniae + ertapenem,8,4,4
Enterobacter kobei,imipenem,Enterobacter kobei + imipenem,8,4,4
Salmonella Infantis,ampicillin,Salmonella Infantis + ampicillin,7,5,2
Providencia rettgeri,meropenem,Providencia rettgeri + meropenem,7,6,1
Serratia rubidaea,meropenem,Serratia rubidaea + meropenem,7,0,7
Serratia rubidaea,colistin,Serratia rubidaea + colistin,7,6,1
Enterobacter asburiae,ertapenem,Enterobacter asburiae + ertapenem,7,6,1
Salmonella enterica,doripenem,Salmonella enterica + doripenem,7,1,6
Providencia rettgeri,imipenem,Providencia rettgeri + imipenem,7,7,0
Serratia rubidaea,chloramphenicol,Serratia rubidaea + chloramphenicol,7,7,0
Serratia rubidaea,imipenem,Serratia rubidaea + imipenem,7,0,7
Klebsiella quasipneumoniae,colistin,Klebsiella quasipneumoniae + colistin,7,0,7
Salmonella Infantis,chloramphenicol,Salmonella Infantis + chloramphenicol,7,5,2
Shigella dysenteriae,chloramphenicol,Shigella dysenteriae + chloramphenicol,6,2,4
Shigella dysenteriae,ampicillin,Shigella dysenteriae + ampicillin,6,3,3
Enterobacter bugandensis,meropenem,Enterobacter bugandensis + meropenem,6,2,4
Serratia rubidaea,amoxicillin,Serratia rubidaea + amoxicillin,6,6,0
Enterobacter hormaechei,colistin,Enterobacter hormaechei + colistin,6,2,4
Enterobacter asburiae,ampicillin,Enterobacter asburiae + ampicillin,6,6,0
Providencia rettgeri,colistin,Providencia rettgeri + colistin,6,6,0
Proteus mirabilis,doripenem,Proteus mirabilis + doripenem,6,2,4
Salmonella Infantis,meropenem,Salmonella Infantis + meropenem,6,0,6
Enterobacter bugandensis,ertapenem,Enterobacter bugandensis + ertapenem,5,2,3
Enterobacter sp.,imipenem,Enterobacter sp. + imipenem,5,2,3
Enterobacter ludwigii,meropenem,Enterobacter ludwigii + meropenem,5,1,4
Serratia marcescens,amoxicillin,Serratia marcescens + amoxicillin,5,5,0
Enterobacter sp.,ampicillin,Enterobacter sp. + ampicillin,5,4,1
Enterobacter ludwigii,ertapenem,Enterobacter ludwigii + ertapenem,5,2,3
Pseudomonas aeruginosa,ertapenem,Pseudomonas aeruginosa + ertapenem,5,1,4
Morganella morganii,imipenem,Morganella morganii + imipenem,5,5,0
Providencia rettgeri,ampicillin,Providencia rettgeri + ampicillin,5,5,0
Providencia stuartii,ampicillin,Providencia stuartii + ampicillin,5,4,1
Staphylococcus aureus,amoxicillin,Staphylococcus aureus + amoxicillin,4,4,0
Proteus vulgaris,ampicillin,Proteus vulgaris + ampicillin,4,4,0
Providencia stuartii,ertapenem,Providencia stuartii + ertapenem,4,2,2
Providencia stuartii,meropenem,Providencia stuartii + meropenem,4,2,2
Enterobacter roggenkampii,ertapenem,Enterobacter roggenkampii + ertapenem,4,1,3
Enterobacter cloacae,fosfomycin,Enterobacter cloacae + fosfomycin,4,4,0
Enterobacter sp.,ertapenem,Enterobacter sp. + ertapenem,4,1,3
Enterobacter asburiae,imipenem,Enterobacter asburiae + imipenem,4,4,0
Enterobacter hormaechei,doripenem,Enterobacter hormaechei + doripenem,4,1,3
Enterobacter roggenkampii,colistin,Enterobacter roggenkampii + colistin,4,4,0
Proteus mirabilis,chloramphenicol,Proteus mirabilis + chloramphenicol,3,3,0
Providencia stuartii,imipenem,Providencia stuartii + imipenem,3,1,2
Shigella,chloramphenicol,Shigella + chloramphenicol,3,0,3
Enterobacter hormaechei,imipenem-relebactam,Enterobacter hormaechei + imipenem-relebactam,3,3,0
Enterobacter kobei,ampicillin,Enterobacter kobei + ampicillin,3,3,0
Morganella morganii,doripenem,Morganella morganii + doripenem,3,3,0
Proteus vulgaris,ertapenem,Proteus vulgaris + ertapenem,3,0,3
Providencia stuartii,doripenem,Providencia stuartii + doripenem,3,1,2
Providencia rettgeri,chloramphenicol,Providencia rettgeri + chloramphenicol,3,3,0
Proteus vulgaris,meropenem,Proteus vulgaris + meropenem,3,0,3
Campylobacter jejuni,chloramphenicol,Campylobacter jejuni + chloramphenicol,3,1,2
Shigella boydii,colistin,Shigella boydii + colistin,3,3,0
Shigella,meropenem,Shigella + meropenem,3,0,3
Shigella sonnei,doripenem,Shigella sonnei + doripenem,3,0,3
Shigella,ampicillin,Shigella + ampicillin,3,2,1
Shigella boydii,meropenem,Shigella boydii + meropenem,3,0,3
Enterococcus faecium,meropenem,Enterococcus faecium + meropenem,2,1,1
Enterobacter sp.,chloramphenicol,Enterobacter sp. + chloramphenicol,2,0,2
Pseudomonas aeruginosa,aztreonam,Pseudomonas aeruginosa + aztreonam,2,2,0
Proteus mirabilis,penicillin,Proteus mirabilis + penicillin,2,2,0
Providencia stuartii,colistin,Providencia stuartii + colistin,2,2,0
Streptococcus pneumoniae,ampicillin,Streptococcus pneumoniae + ampicillin,2,2,0
Streptococcus pneumoniae,imipenem,Streptococcus pneumoniae + imipenem,2,0,2
Enterobacter asburiae,chloramphenicol,Enterobacter asburiae + chloramphenicol,2,0,2
Enterobacter bugandensis,ampicillin,Enterobacter bugandensis + ampicillin,2,2,0
Serratia sp.,imipenem,Serratia sp. + imipenem,2,0,2
Serratia sp.,chloramphenicol,Serratia sp. + chloramphenicol,2,0,2
Shigella flexneri,ertapenem,Shigella flexneri + ertapenem,2,0,2
Enterobacter bugandensis,colistin,Enterobacter bugandensis + colistin,2,2,0
Enterobacter bugandensis,imipenem,Enterobacter bugandensis + imipenem,2,2,0
Enterobacter ludwigii,doripenem,Enterobacter ludwigii + doripenem,2,1,1
Shigella flexneri,doripenem,Shigella flexneri + doripenem,2,0,2
Serratia sp.,ampicillin,Serratia sp. + ampicillin,2,2,0
Serratia sp.,meropenem,Serratia sp. + meropenem,2,0,2
Serratia liquefaciens,chloramphenicol,Serratia liquefaciens + chloramphenicol,2,2,0
Serratia liquefaciens,ampicillin,Serratia liquefaciens + ampicillin,2,2,0
Serratia liquefaciens,amoxicillin,Serratia liquefaciens + amoxicillin,2,2,0
Enterobacter ludwigii,ampicillin,Enterobacter ludwigii + ampicillin,2,2,0
Shigella flexneri,imipenem,Shigella flexneri + imipenem,2,0,2
Enterobacter ludwigii,imipenem,Enterobacter ludwigii + imipenem,2,1,1
Enterobacter kobei,doripenem,Enterobacter kobei + doripenem,2,0,2
Acinetobacter baumannii,fosfomycin,Acinetobacter baumannii + fosfomycin,2,2,0
Proteus sp.,ertapenem,Proteus sp. + ertapenem,1,0,1
Clostridioides difficile,ampicillin,Clostridioides difficile + ampicillin,1,0,1
Enterobacter,ampicillin,Enterobacter + ampicillin,1,1,0
Enterobacter,chloramphenicol,Enterobacter + chloramphenicol,1,0,1
Enterobacter,meropenem,Enterobacter + meropenem,1,0,1
Proteus terrae,ampicillin,Proteus terrae + ampicillin,1,1,0
Proteus terrae,ertapenem,Proteus terrae + ertapenem,1,0,1
Proteus terrae,meropenem,Proteus terrae + meropenem,1,0,1
Proteus vulgaris,chloramphenicol,Proteus vulgaris + chloramphenicol,1,1,0
Proteus sp.,ampicillin,Proteus sp. + ampicillin,1,1,0
Proteus sp.,meropenem,Proteus sp. + meropenem,1,1,0
Proteus vulgaris,imipenem,Proteus vulgaris + imipenem,1,1,0
Staphylococcus aureus,ertapenem,Staphylococcus aureus + ertapenem,1,0,1
Providencia sp.,meropenem,Providencia sp. + meropenem,1,1,0
Providencia rettgeri,imipenem-relebactam,Providencia rettgeri + imipenem-relebactam,1,1,0
Providencia rettgeri,fosfomycin,Providencia rettgeri + fosfomycin,1,0,1
Providencia rettgeri,doripenem,Providencia rettgeri + doripenem,1,1,0
Mycobacterium tuberculosis,methicillin,Mycobacterium tuberculosis + methicillin,1,0,1
Morganella morganii,colistin,Morganella morganii + colistin,1,1,0
Proteus vulgaris,colistin,Proteus vulgaris + colistin,1,1,0
Enterobacter kobei,colistin,Enterobacter kobei + colistin,1,1,0
Enterobacter hormaechei,penicillin,Enterobacter hormaechei + penicillin,1,1,0
Proteus mirabilis,amoxicillin,Proteus mirabilis + amoxicillin,1,1,0
Proteus columbae,ertapenem,Proteus columbae + ertapenem,1,0,1
Proteus columbae,ampicillin,Proteus columbae + ampicillin,1,1,0
Salmonella sp.,ampicillin,Salmonella sp. + ampicillin,1,0,1
Salmonella Infantis,imipenem,Salmonella Infantis + imipenem,1,0,1
Serratia fonticola,ampicillin,Serratia fonticola + ampicillin,1,1,0
Serratia fonticola,chloramphenicol,Serratia fonticola + chloramphenicol,1,0,1
Enterobacter mori,ampicillin,Enterobacter mori + ampicillin,1,1,0
Serratia fonticola,colistin,Serratia fonticola + colistin,1,1,0
Enterobacter mori,meropenem,Enterobacter mori + meropenem,1,0,1
Enterobacter mori,chloramphenicol,Enterobacter mori + chloramphenicol,1,0,1
Mycobacterium tuberculosis,penicillin,Mycobacterium tuberculosis + penicillin,1,1,0
Proteus columbae,meropenem,Proteus columbae + meropenem,1,0,1
Serratia marcescens,imipenem-relebactam,Serratia marcescens + imipenem-relebactam,1,0,1
Serratia rubidaea,ampicillin,Serratia rubidaea + ampicillin,1,0,1
Serratia fonticola,meropenem,Serratia fonticola + meropenem,1,0,1
Serratia rubidaea,doripenem,Serratia rubidaea + doripenem,1,0,1
Enterobacter chengduensis,meropenem,Enterobacter chengduensis + meropenem,1,1,0
Serratia rubidaea,ertapenem,Serratia rubidaea + ertapenem,1,0,1
Enterobacter hormaechei,amoxicillin,Enterobacter hormaechei + amoxicillin,1,1,0
Enterobacter cloacae,penicillin,Enterobacter cloacae + penicillin,1,1,0
Enterobacter asburiae,doripenem,Enterobacter asburiae + doripenem,1,1,0
Enterobacter asburiae,fosfomycin,Enterobacter asburiae + fosfomycin,1,1,0
Enterobacter bugandensis,chloramphenicol,Enterobacter bugandensis + chloramphenicol,1,0,1
Enterobacter asburiae,colistin,Enterobacter asburiae + colistin,1,1,0
Shigella dysenteriae,meropenem,Shigella dysenteriae + meropenem,1,0,1
Enterobacter bugandensis,fosfomycin,Enterobacter bugandensis + fosfomycin,1,1,0
