pathogen_drug,mecA,blaKPC,blaNDM,mcr-1
Pseudomonas aeruginosa + fosfomycin,0.0,0.0,0.0,0.0
Pseudomonas aeruginosa + imipenem,0.0,7.0,18.0,0.0
Pseudomonas aeruginosa + imipenem-relebactam,0.0,4.0,4.0,0.0
Pseudomonas aeruginosa + meropenem,0.0,9.0,8.0,0.0
Pseudomonas aeruginosa + penicillin,0.0,1.0,11.0,0.0
Salmonella Infantis + ampicillin,0.0,0.0,0.0,0.0
Salmonella Infantis + chloramphenicol,0.0,0.0,0.0,0.0
Salmonella Infantis + imipenem,0.0,0.0,0.0,0.0
Salmonella Infantis + meropenem,0.0,0.0,0.0,0.0
Salmonella enterica + amoxicillin,0.0,0.0,0.0,0.0
Salmonella enterica + ampicillin,0.0,1.0,2.0,8.0
Salmonella enterica + chloramphenicol,0.0,1.0,1.0,8.0
Salmonella enterica + colistin,0.0,0.0,1.0,1.0
Salmonella enterica + doripenem,0.0,0.0,1.0,0.0
Salmonella enterica + ertapenem,0.0,0.0,1.0,0.0
Salmonella enterica + imipenem,0.0,0.0,2.0,7.0
Salmonella enterica + meropenem,0.0,0.0,1.0,1.0
Salmonella enterica + penicillin,0.0,0.0,0.0,0.0
Salmonella sp. + ampicillin,0.0,0.0,0.0,0.0
Serratia fonticola + ampicillin,0.0,0.0,0.0,0.0
Serratia fonticola + chloramphenicol,0.0,0.0,0.0,0.0
Serratia fonticola + colistin,0.0,0.0,0.0,0.0
Serratia fonticola + meropenem,0.0,0.0,0.0,0.0
Serratia liquefaciens + amoxicillin,0.0,0.0,0.0,0.0
Serratia liquefaciens + ampicillin,0.0,0.0,0.0,0.0
Serratia liquefaciens + chloramphenicol,0.0,0.0,0.0,0.0
Serratia marcescens + amoxicillin,0.0,0.0,0.0,0.0
Serratia marcescens + ampicillin,0.0,4.0,0.0,0.0
Serratia marcescens + chloramphenicol,0.0,0.0,0.0,0.0
Serratia marcescens + colistin,0.0,2.0,0.0,0.0
Serratia marcescens + doripenem,0.0,1.0,0.0,0.0
Serratia marcescens + ertapenem,0.0,5.0,0.0,0.0
Serratia marcescens + imipenem,0.0,3.0,0.0,0.0
Serratia marcescens + imipenem-relebactam,0.0,0.0,0.0,0.0
Serratia marcescens + meropenem,0.0,7.0,0.0,0.0
Serratia rubidaea + amoxicillin,0.0,0.0,0.0,0.0
Serratia rubidaea + ampicillin,0.0,0.0,0.0,0.0
Serratia rubidaea + chloramphenicol,0.0,0.0,0.0,0.0
Serratia rubidaea + colistin,0.0,0.0,0.0,0.0
Serratia rubidaea + doripenem,0.0,0.0,0.0,0.0
Serratia rubidaea + ertapenem,0.0,0.0,0.0,0.0
Serratia rubidaea + imipenem,0.0,0.0,0.0,0.0
Serratia rubidaea + meropenem,0.0,0.0,0.0,0.0
Serratia sp. + ampicillin,0.0,0.0,0.0,0.0
Serratia sp. + chloramphenicol,0.0,0.0,0.0,0.0
Serratia sp. + imipenem,0.0,0.0,0.0,0.0
Serratia sp. + meropenem,0.0,0.0,0.0,0.0
Shigella + ampicillin,0.0,0.0,0.0,0.0
Shigella + chloramphenicol,0.0,0.0,0.0,0.0
Shigella + meropenem,0.0,0.0,0.0,0.0
Shigella boydii + ampicillin,0.0,0.0,0.0,0.0
Shigella boydii + chloramphenicol,0.0,0.0,0.0,0.0
Shigella boydii + colistin,0.0,0.0,0.0,2.0
Shigella boydii + meropenem,0.0,0.0,0.0,0.0
Shigella dysenteriae + ampicillin,0.0,0.0,0.0,0.0
Shigella dysenteriae + chloramphenicol,0.0,0.0,0.0,0.0
Shigella dysenteriae + meropenem,0.0,0.0,0.0,0.0
Shigella flexneri + ampicillin,0.0,0.0,0.0,0.0
Shigella flexneri + chloramphenicol,0.0,0.0,0.0,0.0
Shigella flexneri + colistin,0.0,0.0,0.0,0.0
Shigella flexneri + doripenem,0.0,0.0,0.0,0.0
Shigella flexneri + ertapenem,0.0,0.0,0.0,0.0
Shigella flexneri + imipenem,0.0,0.0,0.0,0.0
Shigella flexneri + meropenem,0.0,0.0,0.0,0.0
Shigella sonnei + ampicillin,0.0,0.0,0.0,32.0
Shigella sonnei + chloramphenicol,0.0,0.0,0.0,32.0
Shigella sonnei + colistin,0.0,0.0,0.0,52.0
Shigella sonnei + doripenem,0.0,0.0,0.0,0.0
Shigella sonnei + ertapenem,0.0,0.0,0.0,0.0
Shigella sonnei + imipenem,0.0,0.0,0.0,32.0
Shigella sonnei + meropenem,0.0,0.0,0.0,0.0
Staphylococcus aureus + amoxicillin,0.0,0.0,0.0,0.0
Staphylococcus aureus + ampicillin,9.0,0.0,0.0,0.0
Staphylococcus aureus + chloramphenicol,1037.0,0.0,0.0,0.0
Staphylococcus aureus + ertapenem,0.0,0.0,0.0,0.0
Staphylococcus aureus + fosfomycin,7.0,0.0,0.0,0.0
Staphylococcus aureus + imipenem,0.0,0.0,0.0,0.0
Staphylococcus aureus + meropenem,0.0,0.0,0.0,0.0
Staphylococcus aureus + methicillin,2283.0,0.0,0.0,0.0
Staphylococcus aureus + penicillin,811.0,0.0,0.0,0.0
Streptococcus pneumoniae + amoxicillin,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + ampicillin,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + chloramphenicol,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + ertapenem,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + imipenem,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + meropenem,0.0,0.0,0.0,0.0
Streptococcus pneumoniae + penicillin,0.0,0.0,0.0,0.0
