pathogen_drug,model,n,resistant,susceptible,cv_folds,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
Salmonella enterica + colistin,logistic_regression,4556,4113,443,5,0.5917556608622131,0.009652060956807677,0.9541487297044936,0.002052680429547899,0.6035431339166569,0.010300928593202016
Salmonella enterica + colistin,random_forest,4556,4113,443,5,0.5898731377179287,0.007870940407356006,0.9542935050940707,0.0018429236865089046,0.6035431339166569,0.010300928593202016
Salmonella enterica + imipenem,logistic_regression,910,13,897,5,0.5251396648044693,0.030903500974166106,0.014770489319800028,0.018091365499564825,0.6246306641837368,0.06925534344796107
Salmonella enterica + imipenem,random_forest,910,13,897,5,0.5251396648044693,0.030903500974166106,0.014770489319800028,0.018091365499564825,0.6246306641837368,0.06925534344796107
Serratia marcescens + ertapenem,logistic_regression,56,28,28,5,0.7,0.05477225575051661,0.7005128205128205,0.18397610112638907,0.8383333333333333,0.04876246279442596
Serratia marcescens + ertapenem,random_forest,56,28,28,5,0.7,0.05477225575051661,0.7005128205128205,0.18397610112638907,0.8383333333333333,0.04876246279442596
Serratia marcescens + meropenem,logistic_regression,54,20,34,5,0.85,0.049999999999999996,0.819047619047619,0.07619047619047618,0.8125,0.11094446119292188
Serratia marcescens + meropenem,random_forest,54,20,34,5,0.85,0.049999999999999996,0.819047619047619,0.07619047619047618,0.8125,0.11094446119292188
Shigella flexneri + ampicillin,logistic_regression,397,333,64,5,0.5,0.0,0.0,0.0,0.5,0.0
Shigella flexneri + ampicillin,random_forest,397,333,64,5,0.5,0.0,0.0,0.0,0.5,0.0
Shigella flexneri + chloramphenicol,logistic_regression,201,107,94,5,0.5,0.0,0.0,0.0,0.5,0.0
Shigella flexneri + chloramphenicol,random_forest,201,107,94,5,0.5,0.0,0.0,0.0,0.5,0.0
Shigella flexneri + colistin,logistic_regression,79,77,2,2,0.5,0.0,0.0,0.0,0.5,0.0
Shigella flexneri + colistin,random_forest,79,77,2,2,0.5,0.0,0.9871773795824429,0.00016439256945588454,0.5,0.0
Shigella sonnei + ampicillin,logistic_regression,1875,863,1012,5,0.5215926595930862,0.0074527146326768086,0.08577945259652012,0.028225470685867268,0.5216355977125555,0.007474310242927543
Shigella sonnei + ampicillin,random_forest,1875,863,1012,5,0.5215926595930862,0.0074527146326768086,0.08577945259652012,0.028225470685867268,0.5216355977125555,0.007474310242927543
Shigella sonnei + chloramphenicol,logistic_regression,1244,49,1195,5,0.5042259414225942,0.01895374398337181,0.07629014929750685,0.0034034728262332557,0.5019665271966527,0.017090193637868976
Shigella sonnei + chloramphenicol,random_forest,1244,49,1195,5,0.5050627615062762,0.019569964005725166,0.07640721675763076,0.0032713413670619642,0.5033891213389122,0.018890831116942963
Shigella sonnei + colistin,logistic_regression,343,109,234,5,0.7008658008658009,0.05473494879225926,0.5634623655913977,0.1247349674991249,0.7008658008658009,0.05473494879225926
Shigella sonnei + colistin,random_forest,343,109,234,5,0.7008658008658009,0.05473494879225926,0.5634623655913977,0.1247349674991249,0.7008658008658009,0.05473494879225926
Shigella sonnei + ertapenem,logistic_regression,342,103,239,5,0.5,0.0,0.0,0.0,0.5,0.0
Shigella sonnei + ertapenem,random_forest,342,103,239,5,0.5,0.0,0.0,0.0,0.5,0.0
Staphylococcus aureus + chloramphenicol,logistic_regression,1157,17,1140,5,0.6280701754385964,0.13001704554774343,0.04279148723709668,0.026045002410954084,0.5904605263157896,0.24532369578976015
Staphylococcus aureus + chloramphenicol,random_forest,1157,17,1140,5,0.6868421052631579,0.15631150682301548,0.07105505667103891,0.0381498166490217,0.6179093567251461,0.2553145651363302
Staphylococcus aureus + methicillin,logistic_regression,2715,1776,939,5,0.9697804895237724,0.005630423668030306,0.9806569413273651,0.004154231820816835,0.9882788532746167,0.007080721562007972
Staphylococcus aureus + methicillin,random_forest,2715,1776,939,5,0.9700621796646175,0.005355692534901595,0.9809405141909101,0.004088723529438357,0.9882591175783666,0.006380317369443406
Staphylococcus aureus + penicillin,logistic_regression,2619,2336,283,5,0.7237020033199453,0.009897245514602748,0.6951172513073611,0.027698804256662983,0.7376111279853672,0.028351517949636876
Staphylococcus aureus + penicillin,random_forest,2619,2336,283,5,0.7163663461899683,0.014146042924974959,0.6967098057609282,0.027358120992502455,0.7416636022948714,0.03418440957519301
Streptococcus pneumoniae + amoxicillin,logistic_regression,294,45,249,5,0.5,0.0,0.0,0.0,0.5,0.0
Streptococcus pneumoniae + amoxicillin,random_forest,294,45,249,5,0.5,0.0,0.052941176470588235,0.10588235294117647,0.5,0.0
Streptococcus pneumoniae + chloramphenicol,logistic_regression,9074,689,8385,5,0.5,0.0,0.0,0.0,0.5,0.0
Streptococcus pneumoniae + chloramphenicol,random_forest,9074,689,8385,5,0.5,0.0,0.08479262672811058,0.06923288981138322,0.5,0.0
Streptococcus pneumoniae + ertapenem,logistic_regression,1471,10,1461,5,0.5,0.0,0.0026936026936026933,0.0053872053872053875,0.5,0.0
